Material No,Reorder Pt,Max Stk
30005754,470,850
30001640,327,545
30011685,313,438
30002610,267,467
20003401,253,506
30002495,186,335
30001639,185,308
30004303,165,297
20000938,156,310
30002496,148,266
30003389,140,210
30000505,123,205
30005746,120,220
20005657,116,232
30011686,113,158
30004304,106,191
30002627,101,201
20067420,100,150
20001406,95,189
30009753,94,157
20050803,86,172
30018480,85,195
20008799,82,163
20050885,82,164
20067163,80,120
20010173,79,157
20008050,78,155
20058589,77,152
30001655,75,144
30018259,70,100
30005697,65,110
20001423,62,123
10022181,61,121
20002507,60,119
30005501,60,90
20066757,58,83
20010532,56,84
30004650,54,97
20011166,53,106
10003802,51,101
10003891,51,101
20014217,51,101
20066940,50,75
20067143,50,75
20098410,50,113
20010697,49,96
20008749,48,95
20054404,48,72
20005926,47,93
20014022,45,88
30005901,45,81
30006433,45,70
30011713,44,61
20009123,43,85
20005366,42,83
30001644,42,100
10003569,41,81
10003767,41,81
20066736,40,60
30017005,40,60
30018257,40,60
20005668,36,71
30000300,35,58
30016988,35,50
20064033,34,75
20012041,33,65
20050808,33,65
20050890,33,65
20001435,32,63
20053267,32,48
20060716,32,60
10003752,31,61
10022203,31,61
20079853,31,61
30011753,31,70
20008731,30,59
20009226,30,59
20049060,30,80
20063596,30,60
20063599,30,60
30002615,30,60
20013022,29,56
30000211,27,45
30000352,27,45
30017001,27,40
30002412,26,46
20000942,25,50
20067001,25,40
30016403,25,53
20001295,24,47
20010554,24,46
20010904,24,36
20012603,24,46
20001422,23,45
20058134,23,44
30004484,23,40
20010287,22,43
20010288,22,43
20015417,22,44
20053217,22,44
20053770,22,33
10014497,21,60
20006459,21,41
20054043,21,42
10001663,20,39
20023878,20,50
20053837,20,30
20098191,20,45
20098461,20,45
20010180,19,37
20010181,19,37
30003594,18,30
20010561,17,33
30005200,17,30
20004510,16,24
20053658,16,32
20067043,16,24
20006309,15,28
20098404,15,25
30016945,15,25
38001168,15,30
20001421,13,26
30011663,13,18
30016385,13,26
20000944,12,23
20006351,12,24
20054074,12,18
20067312,12,18
20011782,11,21
30003169,11,20
20010982,10,15
20013024,10,19
20020652,10,20
20053985,10,15
20054409,10,15
20067195,10,15
20098263,10,23
20098306,10,24
20098424,10,15
30016934,10,15
30018469,10,30
20001456,8,14
20014208,8,14
30000156,8,13
10002664,7,15
20010503,7,14
20054045,7,10
20060720,7,15
20060729,7,15
20009896,6,11
20052710,6,10
20067117,6,10
20067310,6,9
20067311,6,9
30016404,5,11
20053739,4,8
20053855,4,6
20010947,3,5
20053726,3,4
20053789,3,5
20015674,2,3
20053715,2,3
20053833,2,4
20010987,1,2
20015642,1,1
20053632,1,1
20053737,1,1
20053786,1,1
20053798,1,1
20053823,1,2
20053850,1,2
20053873,1,1
20053936,1,1
20053952,1,1
20054002,1,1
20054006,1,1
20054090,1,1
20054299,1,1
20054422,1,2
20005261,0,0
20005570,0,0
20010735,0,2
20010962,0,0
20011010,0,0
20013348,0,0
20015406,0,0
20015699,0,0
20052650,0,0
20053323,0,16
20053324,0,16
20053733,0,10
20053763,0,2
20053808,0,0
20053867,0,0
20054001,0,0
20054335,0,0
30000865,0,1
30001885,0,0
30002005,0,0
30002013,0,0
30002033,0,0
30002034,0,0
30002037,0,0
30002038,0,0
30002039,0,0
30002047,0,0
30002091,0,0
30002092,0,0
30002111,0,6
30002136,0,6
30002141,0,6
30002148,0,0
30002185,0,0
30002250,0,0
30002253,0,0
30002795,0,0
30011639,0,0
30011641,0,17
30011714,0,0
30011746,0,0
30012070,0,0
30012097,0,0
30012103,0,0
30012130,0,3
30012201,0,0
30012203,0,0
30012204,0,0
30012205,0,0
30012206,0,0
30012212,0,0
30012220,0,0
30012250,0,0
38000003,0,0
38000026,0,0
38000027,0,0
38000028,0,0
38000116,0,0
38000122,0,0
38000125,0,0
38000129,0,0
38000200,0,0
38000301,0,0
38000304,0,0
38000307,0,0
38000314,0,0
38000326,0,0
38000332,0,0
38000412,0,0
38000421,0,0
38000446,0,0
38000453,0,0
38000460,0,0
38000462,0,0
38000484,0,0
38000492,0,0
38000493,0,0
38000872,0,0
38000950,0,0
38001141,0,2
38001730,0,0
